Root Domain,company,Image Url 1,Link to Product Page,Sentence1,Sentence2,Model Number,job titles,Contact Email,Response
dw4trading.com,DW4Trading,https://dw4trading.com/11875-large_default/beauty-case-with-2-compartments-organizer-travel-toiletry-bag-black.jpg,https://dw4trading.com/en/make-up-accessories/2579-beauty-case-with-2-compartments-organizer-travel-toiletry-bag-black-8720701298187.html,I was browsing through your site and came across one of your products: beauty case with 2 compartments - organizer - travel toiletry bag - black,"That comes with a soft-sided case, right?",,owner,info@dw4trading.com,info@dw4trading.com
qnde.ca,Quality NDE,https://www.qnde.ca/wp-content/uploads/2022/12/REED-R9950-large-padded-soft-shell-carrying-case.jpg,https://www.qnde.ca/produit/reed-r9950-large-soft-carrying-case/,I was browsing through your site and came across one of your products: reed r9950 large soft carrying case,"That comes with a soft-sided case, right?",(model number: r9950 ),owner,info@qnde.ca,info@qnde.ca
sciwise.ca,SciWise,https://www.sciwise.ca/wp-content/uploads/2021/08/Mobile-Shielded-Container-1.jpg,https://www.sciwise.ca/product/containers-and-casks/,I was browsing through your site and came across one of your products: mobile shielded container,"That comes with an aluminum case, right?",,owner,info@sciwise.ca,info@sciwise.ca
aerospacemanufacturinganddesign.com,Aerospace Manufacturing and Design,https://www.aerospacemanufacturinganddesign.com/remote/aHR0cHM6Ly9naWVjZG4uYmxvYi5jb3JlLndpbmRvd3MubmV0L2ZpbGV1cGxvYWRzL2ltYWdlLzIwMjAvMDIvMjcvcGVsaWNhbi1sd2dyYXkuanBn.Z0aGY8SMups.jpg?format=webp,https://www.aerospacemanufacturinganddesign.com/product/pelican-hardigg-light-lift-molded-cases/,I was browsing through your site and came across one of your products: pelican-hardigg light lift series,"That comes with an ATA case, right?",,owner,No generic contact email found on the website.,No generic contact email found on the website.
3dscan.cn,华朗三维,https://www.3dscan.cn/uploads/20240403/ecd166e47cdca25cc1c4f12ed82a4059.webp,https://www.3dscan.cn/en,I was browsing through your site and came across one of your products: holmonscan tracking industrial 3d scanner,"That comes with an aluminum case and foam inserts, right?",(model number: holonscan ),owner,service@3dscan.cn,service@3dscan.cn
pmeasuring.com,Particle Measuring Systems,https://www.pmeasuring.com/wp-content/uploads/2022/06/HandiLaz-Mini-Case.jpg,https://www.pmeasuring.com/product/handheld-particle-counter-handilaz-mini-ii/,I was browsing through your site and came across one of your products: handheld particle counter,"That comes with foam inserts, right?",(model number: Handilaz® Mini II ),owner,info@pmeasuring.com,info@pmeasuring.com
brinkleyrv.com,Brinkley RV,https://www.brinkleyrv.com/wp-content/uploads/RVs/Toy_Hauler/Model_G/25/4100/2025-Brinkley-RV-Model-G-4100-Exterior-Campside-Slide-Tray-Storage-Drawer-8237.jpg,https://www.brinkleyrv.com/rvs/fifth-wheels/model-g/3250/,I was browsing through your site and came across one of your products: model g 3250,"That comes with foam inserts, right?",,owner,info@brinkleyrv.com,info@brinkleyrv.com
farrwest.com,Farrwest Environmental Supply,https://farrwest.com/wp-content/uploads/2024/05/DSC02654-scaled-650x650.jpg,https://farrwest.com/farrwest-custom-kits/,I was browsing through your site and came across one of your products: hazardous chemical identification colormetric paper kit,"That comes with a plastic case, right?",,owner,sales@farrwest.com,sales@farrwest.com
radonmarket.com,RadonMarket,https://www.radonmarket.com/wp-content/uploads/2019/11/Airthings-Corentium-PLUSHOME-hard-protective-case-by-RadonThings-Yellow-1-2.jpg,https://www.radonmarket.com/product/protective-hard-case-for-airthings-corentium-plus-home-yellow/,I was browsing through your site and came across one of your products: protective hard case for airthings corentium plus/home,"That comes with a plastic case, right?","(model number: airthings corentium home, airthings corentium plus )",owner,info@radonmarket.com,info@radonmarket.com
careforaqi.com,CareFor,https://careforaqi.com/cdn/shop/products/7.jpg?v=1631623634,https://careforaqi.com/products/cf-2,I was browsing through your site and came across one of your products: carefor cf-2 indoor air quality monitor,"That comes with a plastic case, right?",(model number: cf-2 ),owner,sales@careforaqi.com,sales@careforaqi.com
us.targus.com,Targus,https://us.targus.com/cdn/shop/files/TCT02702GL_MAIN2_1024x1024.jpg?v=1686600690,https://us.targus.com/products/15-16-inch-classic-slim-briefcase-blue-tct02702gl,I was browsing through your site and came across one of your products: 15-16” classic slim briefcase - blue,"That comes with a cut and sew bag, right?",(model number: TCT02702US ),owner,info@targus.com,info@targus.com
pressroom.boschtools.com,Bosch,https://pressroom.boschtools.com/file.php/178688/DDMS40+%281%29.jpg?thumbnail=modal,https://pressroom.boschtools.com/BoschCustomCaseSystem,I was browsing through your site and came across one of your products: bosch custom case,"That comes with foam inserts, right?",,owner,info@boschtools.com,info@boschtools.com
measurand.com,Measurand,https://measurand.com/wp-content/uploads/2021/04/PDU_OpenCase_Clipped.png,https://measurand.com/products/portable-diagnostic-unit/,I was browsing through your site and came across one of your products: portable diagnostic unit,"That comes with foam inserts, right?",,owner,[email protected],[email protected]
kunz-precision.ch,Kunz Precision AG,https://www.kunz-precision.ch/domains/kunz-precision_tpl_103/data/galleries/jGal_504082/dsc_0237.jpg,https://www.kunz-precision.ch/en/products/accessories/case-straight-line,I was browsing through your site and came across one of your products: straight-line,"That comes with foam inserts, right?",,owner,mailbox@kunz-precision.ch,mailbox@kunz-precision.ch
amigosmyanmar.com,"Amigos International Co., Ltd",https://www.amigosmyanmar.com/images/virtuemart/product/seco-total-station-field-case-94634.png,https://www.amigosmyanmar.com/index.php/en/shop/seco-total-station-field-case-94634-detail,I was browsing through your site and came across one of your products: seco total station field case,"That comes with a soft sided case, right?",(model number: 94634 ),owner,info@amigosmyanmar.com,info@amigosmyanmar.com
toveyengineering.com,Tovey Engineering,https://www.toveyengineering.com/img/load-cells/Case.gif,https://www.toveyengineering.com/load-cells/transport-cases,I was browsing through your site and came across one of your products: transport cases,"That comes with case with foam inserts, right?",,owner,toveyengineering.com,toveyengineering.com
synectic.net,Synectic,https://synectic.net/wp-content/uploads/2022/06/vitrectomy-system.jpg,https://synectic.net/vitrectomy-device/,I was browsing through your site and came across one of your products: intrector portable vitrectomy system,"That comes with a case with foam inserts, right?",,owner,info@synectic.net,info@synectic.net
wearableorgans.com,"Wearable Artificial Organs, Inc.",https://wearableorgans.com/wp-content/uploads/pic2.jpg,https://wearableorgans.com/technology/,I was browsing through your site and came across one of your products: wearable artificial kidney,"That comes with plastic case and foam inserts, right?",(model number: WAK 3.0 ),owner,info@wearableorgans.com,info@wearableorgans.com
surgicaltoolbox.us,Surgical Toolbox,https://www.surgicaltoolbox.us/cdn/shop/products/product-image-529116895.jpg?v=1571609898,https://www.surgicaltoolbox.us/products/kids-tool-set-tool-kit-in-suitcase-tool-kit-construction-plaything-for-play-medical-kit-suitcase-for-children,I was browsing through your site and came across one of your products: surgical toolbox/engineer toolbox for kids,"That comes with a plastic case, right?","(model number: blue surgical toolbox, red engineer toolbox )",owner,contactus@surgicaltoolbox.us,contactus@surgicaltoolbox.us
perfectprime.com,PerfectPrime,https://perfectprime.com/cdn/shop/products/6thimageIR0280Hfullset-min.jpg?v=1647584189&width=1445,https://perfectprime.com/products/ir0280h-fever-detection-thermal-camera,I was browsing through your site and came across one of your products: ir0280h fever detection thermal camera,"That comes with a soft-sided case, right?",(model number: IR0280H ),owner,cs@perfectprime.com,cs@perfectprime.com
toptestools.com,TopTes,https://www.toptestools.com/cdn/shop/files/B0BYHN81H2_PT06_jpg_400x@2x.jpg?v=1691052618,https://www.toptestools.com/products/toptes-pt520a-gas-leak-detector-1,I was browsing through your site and came across one of your products: toptes pt520a+ gas leak detector,"That comes with a soft-sided case, right?",(model number: pt520a+ ),owner,support@toptestools.com,support@toptestools.com
thecrosswild.com,CrossWild,https://www.thecrosswild.com/home_image/c4c782ee5798a91f91c14e671295be1f.webp,https://www.thecrosswild.com/,I was browsing through your site and came across one of your products: the crosswild,"That comes with cut and sew bags, right?",,owner,orders@thecrosswild.com,orders@thecrosswild.com
xinyuan-transmitter.com,"Xi'an Xinyuan Industrial Equipment Co.,Ltd",https://www.xinyuan-transmitter.com/uploads/20179005/p201704121301597577529.jpg,https://www.xinyuan-transmitter.com/hart-communicator/475-hart-communicator.html,I was browsing through your site and came across one of your products: 475 hart communicator,"That comes with silicone skins, right?",(model number: 475 hart communicator ),owner,newsales12@vip.163.com,newsales12@vip.163.com
deltatraksales.com,Solutions Prime,https://www.deltatraksales.com/images/virtuemart/product/15112.jpg,https://www.deltatraksales.com/shop/hsp/thermometers/15112,I was browsing through your site and came across one of your products: ir soft carrying case,"That comes with a soft-sided case, right?",(model number: 15112 ),owner,support@deltatrak.com,support@deltatrak.com
respoproducts.com,Respo Safety Solutions,https://www.respoproducts.com/images/gaspro/800_3.jpg,https://www.respoproducts.com/gas-pro.php,I was browsing through your site and came across one of your products: gas-pro detector for confined spaces,"That comes with foam inserts, right?",,owner,info@respoproducts.com,info@respoproducts.com
hwsensor.com,Hanwei Electronics,https://www.hwsensor.com/uploads/220610/1-220610133620Y7.jpg,https://www.hwsensor.com/enviromental-parameter-monitoring-devices/hw-pad01.html,I was browsing through your site and came across one of your products: portable air quality detector,"That comes with a plastic case, right?",(model number: HW-PAD01 ),owner,sales@hwsensor.com,sales@hwsensor.com
pac-dent.com,"Pac-Dent, Inc.",https://pac-dent.com/cdn/shop/products/Tooth_Whitening_Tray_Retainer_Box_600x.jpg?v=1574878958,https://pac-dent.com/products/tooth-whitening-tray-retainer-box,I was browsing through your site and came across one of your products: tooth whitening tray retainer box,"That comes with plastic cases, right?",,owner,info@pac-dent.com,info@pac-dent.com
novatech-usa.com,Nova-Tech International,https://www.novatech-usa.com/SCA%20Images/ADM-3002014371_Adam%20Equipment_media_1.jpg?resizeid=3&resizeh=500&resizew=500,https://www.novatech-usa.com/ADM-3002014371,I was browsing through your site and came across one of your products: hard carrying case with lock for lbx/abw series,"That comes with an aluminum case and foam inserts, right?",(model number: 3002014371 ),owner,contact@mystaire.com,contact@mystaire.com
synergycrafts.com,Synergy Crafts,https://synergycrafts.com/media/bss/webp/media/catalog/product/cache/4bb2ed199a69bc1ec96d2c3761cca5c5/0/0/0001272935.webp,https://synergycrafts.com/12x12-plastic-storage-case.html,I was browsing through your site and came across one of your products: 12x12 plastic storage case,"That comes with plastic case, right?",,owner,contact@synergycrafts.com,contact@synergycrafts.com
tilswall.com,Tilswall,https://www.tilswall.com/cdn/shop/files/CPAPCleaner_2_700x700.jpg?v=1715064962,https://www.tilswall.com/products/cpap-cleaner-and-sanitizing-machine-cleaning-system-for-sleep-machine-accessories,I was browsing through your site and came across one of your products: tilswall cpap cleaner,"That comes with a soft-sided case, right?",,owner,us.support@tilswall.com,us.support@tilswall.com
wagnermeters.com,Wagner Meters,https://www.wagnermeters.com/wp-content/uploads/2016/11/l-series-case-open.jpg,https://www.wagnermeters.com/shop/l600-series-ruggedized-carrying-case/,I was browsing through your site and came across one of your products: l600 series ruggedized carrying case,"That comes with a plastic case and foam inserts, right?",(model number: 739-60100-001 ),owner,info@wagnermeters.com,info@wagnermeters.com
majortech.com.au,Major Tech Australia,https://majortech.com.au/wp-content/uploads/2021/04/MT827-Web.jpg,https://majortech.com.au/product/multimeter-carrying-case/,I was browsing through your site and came across one of your products: multimeter carrying case,"That comes with a cut and sew bag, right?",,owner,contact@majortech.com.au,contact@majortech.com.au
lpow.com,Lpow,http://lpow.com/cdn/shop/products/1.jpg-1_a250adeb-0d4e-4147-8a8c-6630fd7f32e3_1200x1200.jpg?v=1608893104,https://lpow.com/products/keeship-commuter-series-case-for-iphone-8-7-not-plus-frustration-free-packaging-black,I was browsing through your site and came across one of your products: keeship commuter series case,"That comes with a silicone case, right?",(model number: L311 ),owner,cs@lpow.com,cs@lpow.com
sensorsandsystems.com,VertiGIS,https://sensorsandsystems.com/wp-content/uploads/2019/10/8.jpeg,https://sensorsandsystems.com/gssi-announces-the-gs-series-gpr-product-line-for-geophysical-and-environmental-surveys/,I was browsing through your site and came across one of your products: gs series gpr product line,"That comes with a plastic case, right?",(model number: 200 hs ),owner,info@vector1media.com,info@vector1media.com
quakelogic.net,QuakeLogic,https://www.quakelogic.net/_small-scale-shaketables/img/ATOM_transport_case_black_2.jpeg,https://www.quakelogic.net/_small-scale-shaketables/atom-transport-case,I was browsing through your site and came across one of your products: atom-25 shake table,"That comes with foam inserts, right?",(model number: ATOM-25 ),owner,support@quakelogic.net,support@quakelogic.net
prestigemedical.com,Prestige Medical,https://www.prestigemedical.com/products/web/882-AQS.jpg,https://www.prestigemedical.com/ProductDetail.aspx?sku=882,I was browsing through your site and came across one of your products: premium aneroid sphygmomanometer & carrying case,"That comes with a cut and sew bag, right?",(model number: 882 ),owner,No specific generic contact email found on the webpage.,No specific generic contact email found on the webpage.
theinductor.com,Induction Innovations,https://www.theinductor.com/wp-content/uploads/Mini-Ductor-ll-Case.jpg,https://www.theinductor.com/product/md-700-case/,I was browsing through your site and came across one of your products: mini-ductor® ii case,"That comes with plastic case, right?",(model number: md50-001 ),owner,info@theinductor.com,info@theinductor.com
creative-sz.com,Lepu Medical Technology,https://www.creative-sz.com/uploads/image/20240426/16/lepu-medical-telehealth-portable-kit.jpg,https://www.creative-sz.com/,I was browsing through your site and came across one of your products: lepu medical grade tablet ecg machine s120 smart portable 12-lead cardiac monitor with bluetooth printer artificial intelligence analysis diagnosis and touch screen,"That comes with an EVA case and foam inserts, right?",,owner,andy.cheng@lepu-medical.com,andy.cheng@lepu-medical.com
habotest.com,"Dongguan Habotest Instrument Technology Co.,Ltd",https://www.habotest.com/photo/py32626754-habotest_ht112b_mini_pocket_digital_6000_counts_t_rms_multimeter_tester_professional_meter.jpg,https://www.habotest.com/sale-13562396-habotest-ht112b-mini-pocket-digital-6000-counts-t-rms-multimeter-tester-professional-meter.html,I was browsing through your site and came across one of your products: habotest ht112b mini pocket digital 6000 counts t-rms multimeter tester professional meter,"That comes with a silicone skin, right?",(model number: ht112b ),owner,sales@habotest.com.cn,sales@habotest.com.cn
audiologysupplies.com,"Oaktree Products, Inc.",https://www.audiologysupplies.com//img/product/RACASE_2024_updated-B.jpg,https://www.audiologysupplies.com/travel-cases,I was browsing through your site and came across one of your products: multi-compartment travel box,"That comes with foam inserts, right?",(model number: 18090-2 ),owner,username@example.com,username@example.com
surgimac.com,SurgiMac,https://surgimac.com/cdn/shop/files/SDI-7750008_CosmeticDentistry_01.jpg?v=1690629722,https://surgimac.com/products/tray-cases-5-pk,I was browsing through your site and came across one of your products: tray cases,"That comes with a plastic case, right?",(model number: 7750008 ),owner,info@surgimac.com,info@surgimac.com
m.kaemeasu.com,Kaemeasu,https://m.kaemeasu.com/photo/pt169723181-kaemeasu_6_5x_magnetification_golf_range_finder_telescope_flagpole_lock_angle_measuring_distance_meter_m1000.jpg,https://www.kaemeasu.com/sale-43888648-kaemeasu-6-5x-magnetification-golf-range-finder-telescope-flagpole-lock-angle-measuring-distance-met.html,I was browsing through your site and came across one of your products: kaemeasu 6.5x magnetification golf range finder telescope flagpole lock angle measuring distance meter,"That comes with a soft-sided case, right?",(model number: KM-M1000H ),owner,info@m.kaemeasu.com,info@m.kaemeasu.com
alphaomega-electronics.com,Maranata-Madrid SL,https://www.alphaomega-electronics.com/15476/case-pelican-1510-pelican-case-for-instruments-and-loggers.jpg,https://www.alphaomega-electronics.com/en/cajas/1236-case-pelican-1510-pelican-case-for-instruments-and-loggers.html,I was browsing through your site and came across one of your products: pelican case for instruments and loggers,"That comes with a case with foam inserts, right?",,owner,info@alphaomega-electronics.com,info@alphaomega-electronics.com
futuremed.com,Futuremed,https://futuremed.com/webdocs/images/newsv3case.jpg,https://futuremed.com/sv3specs.htm,I was browsing through your site and came across one of your products: spirovision-3+,"That comes with an EVA case, right?",(model number: sv3+ ),owner,info@futuremed.com,info@futuremed.com
lebiotek.com,LeBio International Technology Corp,https://www.lebiotek.com/wp-content/uploads/2014/10/DSCN6629-480x360.jpg,https://www.lebiotek.com/products/spectrophotometer/,I was browsing through your site and came across one of your products: spectromob,"That comes with a plastic case, right?",(model number: LM801S ),owner,info@lebiotek.com,info@lebiotek.com
iso-group.com,ISO Group,https://www.iso-group.com/Images/gmtk_web_graphic.jpg,https://www.iso-group.com/sustainment/sustainment-services/mro-support/GENERAL-MECHANICS-TOOL-KIT,I was browsing through your site and came across one of your products: general mechanics tool kit,"That comes with a case with foam inserts, right?",(model number: 5180-01-443-0692 ),owner,customerservice@iso-group.com,customerservice@iso-group.com
908devices.com,908 Devices,https://908devices.com/wp-content/uploads/2023/07/MX908-Beacon_800x800.png,https://908devices.com/products/mx908/,I was browsing through your site and came across one of your products: mx908,"That comes with a plastic case, right?",(model number: mx908 ),owner,contact@908devices.com,contact@908devices.com
nebology.com,Nebology,https://nebology.com/cdn/shop/files/trek_s_case_dimensions_512x512.jpg?v=1719503428,https://nebology.com/products/pari-trek-s-canvas-zippered-travel-bag,I was browsing through your site and came across one of your products: pari trek s canvas zippered travel bag,"That comes with a soft-sided case, right?",(model number: 047F3000 ),owner,info@nebology.com,info@nebology.com
sunsethcs.com,Sunset Healthcare Solutions,https://sunsethcs.com/wp-content/uploads/2023/03/NEB300-BAG-3.jpg,https://sunsethcs.com/product/neb300-bag-bag-for-nebulizer-compressor/,I was browsing through your site and came across one of your products: neb300-bag bag for nebulizer compressor,"That comes with a soft-sided case, right?",(model number: neb300 ),owner,sales@sunsethcs.com,sales@sunsethcs.com
shop.lifelinecorp.com,Lifeline Corporation,http://shop.lifelinecorp.com/cdn/shop/products/aed-ipad-carry-bag-case.jpg?v=1646270925,https://shop.lifelinecorp.com/collections/emergency/products/ipad-nf1200-carry-case,I was browsing through your site and came across one of your products: ipad nf1200 carry case,"That comes with a soft-sided case, right?",(model number: 40/2031 ),owner,info@lifelinecorp.com,info@lifelinecorp.com
transcell.com,Transcell,https://transcell.com/wp-content/uploads/A1-display-3-scaled.webp,https://transcell.com/,I was browsing through your site and came across one of your products: guardian lite and guardian premium,"That comes with a plastic case and a case with foam inserts, right?",,owner,info@transcell.com,info@transcell.com
ufpmedtech.com,UFP MedTech,https://ufpmedtech.com/wp-content/uploads/2020/08/Truslow_080105UFPT_58PRINT.jpg,https://ufpmedtech.com/materials/protective-cases/,I was browsing through your site and came across one of your products: na,"That comes with foam inserts, right?",,owner,info@ufpmedtech.com,info@ufpmedtech.com
intercompcompany.com,Intercomp,https://www.intercompcompany.com/images/products/800x800/TS30-CPU.jpg,https://www.intercompcompany.com/wheel-axle-scales/wheel-indicator-displays-software-apps/ts30-cpu,I was browsing through your site and came across one of your products: ts30 cpu touchscreen indicator,"That comes with a plastic case, right?",(model number: ts30 ),owner,info@intercompcompany.com,info@intercompcompany.com
beckhoff.com,Beckhoff Automation,https://www.beckhoff.com/media/pictures/content-images/news/heatview-conpak-ethercat-klemmen-koffer.jpg,https://www.beckhoff.com/lt-lt/company/news/compact-carrying-case-solution-offers-versatile-use-in-the-field.html,I was browsing through your site and came across one of your products: heat view conpak,"That comes with an integration case, right?",,owner,support.usa@beckhoff.com,support.usa@beckhoff.com
bditest.com,Bridge Diagnostics,https://bditest.com/wp-content/uploads/2019/05/SPC-A1-02_02.jpg,https://bditest.com/product/protective-covers/,I was browsing through your site and came across one of your products: protective covers,"That comes with aluminum case, right?",,owner,No generic contact email found on the website.,No generic contact email found on the website.
pari.com,"PARI Respiratory Equipment, Inc.",https://www.pari.com/fileadmin/user_upload/PARI.com-INT/Images/Products/055E8000-VELOX-Carrying-Case.jpg,https://www.pari.com/int/products/inhalation-devices-for-the-lungs/velox-carrying-case/,I was browsing through your site and came across one of your products: velox carrying case,"That comes with a cut and sew bag, right?",,owner,info@pari.com,info@pari.com
adamdme.com,Adam Medical Equipment Inc.,https://www.adamdme.com/wp-content/uploads/2020/10/adamdme-pump-care-product-bg.jpg,https://www.adamdme.com/our-services/,I was browsing through your site and came across one of your products: compression stockings,"That comes with a soft-sided case, right?",,owner,info@adamdme.com,info@adamdme.com
aura-medical.com,Aura Medical,https://www.aura-medical.com/wp-content/uploads/2019/05/Package-with-neb-image.jpg,https://www.aura-medical.com/product/aura-portable-nebulizer/,I was browsing through your site and came across one of your products: aura portable nebulizer,"That comes with a soft-sided case, right?",,owner,support@aura-medical.com,support@aura-medical.com
greenlion.net,Green Lion,https://www.greenlion.net/web/image/product.product/6805/image_1024/%5BGNMAGG15PBK%5D%20Green%20Lion%20MagSafe%20Grip%20Case%20for%20iP15Pro%20Max%20%28iPhone%2015%20Pro%2C%20%E2%80%8BBlack%29?unique=368c2ee,https://www.greenlion.net/shop/green-lion-magsafe-grip-case-for-ip15pro-max-2891,I was browsing through your site and came across one of your products: green lion magsafe grip case,"That comes with a plastic case, right?",(model number: iphone 15 pro max ),owner,contact email: contact@greenlion.net,contact email: contact@greenlion.net
drinstruments.com,DR Instruments,http://drinstruments.com/cdn/shop/products/deluxe-dissection-kit-case-dr-instruments.jpg?v=1674596742,https://drinstruments.com/products/deluxe-dissection-kit-case-dr-instruments,I was browsing through your site and came across one of your products: deluxe dissection kit case,"That comes with a soft-sided case, right?",(model number: 506 ),owner,sales@drinstruments.com,sales@drinstruments.com
sonohealth.com,SonoHealth,https://sonohealth.com/wp-content/uploads/2019/04/Hard-case-for-EKGraph-edited-2.jpg.webp,https://sonohealth.com/product/protective-hard-case-for-ekgraph/,I was browsing through your site and came across one of your products: protective hard case for ekgraph,"That comes with an EVA case, right?",,owner,support@sonohealth.com,support@sonohealth.com
allegrosafety.com,Allegro Industries,https://www.allegrosafety.com/wp-content/uploads/2017/11/4400_6x6_silo-720x720.jpg,https://www.allegrosafety.com/product/respirator-storage-wall-case/,I was browsing through your site and came across one of your products: respirator storage wall case,"That comes with plastic cases, right?",(model number: 4400 ),owner,info@allegrosafety.com,info@allegrosafety.com
bestech.com.au,Bestech Australia,https://www.bestech.com.au/wp-content/uploads/2020/08/KS963B100-S.jpg,https://www.bestech.com.au/product/ks963b100-s-triaxial-seat-pad-accelerometer-for-vehicles-and-construction-machines/,I was browsing through your site and came across one of your products: ks963b100-s triaxial seat pad accelerometer,"That comes with foam inserts, right?",(model number: KS963B100-S ),owner,enquiry@bestech.com.au,enquiry@bestech.com.au
myvocalmist.com,VocalMist,http://myvocalmist.com/cdn/shop/files/VocalMistCaseWhiteBkgd1.jpg?v=1741885796,https://myvocalmist.com/products/vocalmist-carrying-case,I was browsing through your site and came across one of your products: vocalmist carrying case,"That comes with an EVA case, right?",,owner,contact@myvocalmist.com,contact@myvocalmist.com
svbony.com,Svbony,https://www.svbony.com/Assets/ProductImages/W/w9164a/W9164A---7--compressed_md.jpg,https://www.svbony.com/svbony-sv212-telescope-carrying-case-bag-adjustable-black/,I was browsing through your site and came across one of your products: svbony telescope carrying case,"That comes with a cut and sew bag, right?",,owner,info@svbony.com,info@svbony.com
shop.autooltech.com,AUTOOL,https://shop.autooltech.com/wp-content/uploads/2024/07/61684796-2801-982b-e7f1-b52bafecec5e.jpg,https://shop.autooltech.com/product/autool-92pcs-automotive-circuit-test-leads-kit-multimeter-test-leads-kit-with-carrying-case-electrical-testers-wire-connectors-adapter-cables-with-alligator-clips/,I was browsing through your site and came across one of your products: autool 92pcs automotive circuit test leads kit,"That comes with a case with foam inserts, right?",,owner,shop@autooltech.com,shop@autooltech.com
rescuestat.com,RescueStat,https://rescuestat.com/wp-content/uploads/2024/05/casecutout.png,https://rescuestat.com/,I was browsing through your site and came across one of your products: rescuestat,"That comes with a plastic case, right?",,owner,customersupport@rescuestat.com,customersupport@rescuestat.com
vystamed.com,VystaMed,https://vystamed.com/wp-content/uploads/2023/05/81mdy5CUncL._AC_SL1500.jpg,https://vystamed.com/product/quixhealf-medicine-bag/,I was browsing through your site and came across one of your products: quixhealf medicine bag,"That comes with foam inserts, right?",,owner,support@vystamed.com,support@vystamed.com
finegrouptest.in,Fine Group,https://www.finegrouptest.in/images/Fine-Spavy-Associates/standard-rockwell-hardness-testing-machines.jpg,https://www.finegrouptest.in/standard-rockwell-hardness-testing-machines.html,I was browsing through your site and came across one of your products: digital rockwell hardness testing machines,"That comes with a wooden case, right?",,owner,sales@finegrouptest.com,sales@finegrouptest.com
safetyware.com,SAFETYWARE,https://safetyware.com/wp-content/uploads/2024/09/LTS103-01.jpg,https://safetyware.com/product/safetyware-safety-carry-case/,I was browsing through your site and came across one of your products: safetyware safety carry case,"That comes with a plastic case, right?",(model number: LTS103 ),owner,info@safetyware.com,info@safetyware.com
twsafety.net,Total Workplace Safety,https://twsafety.net/bc/wp-content/uploads/tws-img-first-aid-kit-for-refills.jpg,https://twsafety.net/first-aid-kits-supplies-cabinet-refill-restocking-service/san-antonio-tx/,I was browsing through your site and came across one of your products: first aid kits,"That comes with an aluminum case, right?",,owner,info@TWSafety.net,info@TWSafety.net
spminstrument.us,SPM Instrument,https://www.spminstrument.us/media/2037/cas25_1920x1080.png,https://www.spminstrument.us/products-and-services/portable-instruments/accessories/carrying-cases/,I was browsing through your site and came across one of your products: hard case 24,"That comes with a case with foam inserts, right?",,owner,info@spminstrument.com,info@spminstrument.com
imcsupplier.com,IMC Supplier,https://imcsupplier.com/cdn/shop/files/Screenshot2024-06-04at7.02.04PM_71a84334-9de9-42de-bdf4-42ae6661822f_1024x1024.png?v=1732048256,https://imcsupplier.com/products/laparoscopic-instrument-box,I was browsing through your site and came across one of your products: laparoscopic instrument box,"That comes with aluminum case, right?",,owner,No explicit generic contact email address found on the website.,No explicit generic contact email address found on the website.
zeto-inc.com,Zeto Inc.,https://zeto-inc.com/wp-content/uploads/2022/10/f.png,https://zeto-inc.com/eeg-for-research-and-clinical-trials/,I was browsing through your site and came across one of your products: zeto one,"That comes with an EVA case, right?",(model number: wr19 ),owner,info@zetoinc.com,info@zetoinc.com
soterixmedical.com,Soterix Medical,https://soterixmedical.com/static/images/Accessories/acc_126-compressed.png,https://soterixmedical.com/research/1x1/accessories/1x1-easycase,I was browsing through your site and came across one of your products: easycase,"That comes with foam inserts, right?",,owner,contact@soterixmedical.com,contact@soterixmedical.com
emotiv.com,Emotiv,http://www.emotiv.com/cdn/shop/articles/flex_saline_storage-11.jpg?v=1711424894,https://www.emotiv.com/blogs/how-to/storage,I was browsing through your site and came across one of your products: epoc x,"That comes with an EVA case, right?",(model number: 14 channel eeg headset ),owner,support@emotiv.com,support@emotiv.com
letymedical.com,Lety Medical,https://letymedical.com/Uploads/61e744fbbb6392227.jpg,https://letymedical.com/product/products-9-46.html,I was browsing through your site and came across one of your products: animal electro-ejaculator equipment,"That comes with a plastic case, right?",(model number: animal sperm collector multiple animals electrical stimulation sperm semen collector ),owner,sales@letymedical.com,sales@letymedical.com
eartronics.com,Ear-Tronics,https://eartronics.com/wp-content/uploads/2021/12/starkey-reachargeable-2.png,https://eartronics.com/hearing-aids/,I was browsing through your site and came across one of your products: hearing aids,"That comes with a plastic case, right?",,owner,info@eartronics.com,info@eartronics.com
moldex.com,Moldex-Metric,https://www.moldex.com/wp-content/uploads/BattlePlugs-Large.jpg,https://www.moldex.com/product/battleplugs-impulse-protection-earplugs/,I was browsing through your site and came across one of your products: battleplugs® impulse protection earplugs,"That comes with a plastic case, right?","(model number: 6496, 6497, 6498, 6499 )",owner,customersupport@moldex.com,customersupport@moldex.com
rtmedical.org,RT Medical,https://rtmedical.org/wp-content/uploads/2018/12/billboard-equipment.jpg,https://rtmedical.org/,I was browsing through your site and came across one of your products: aerosol therapy (large volume),"That comes with a soft-sided case, right?",,owner,info@rtmedical.org,info@rtmedical.org
integratedmedsys.com,Integrated Medical Systems,https://www.integratedmedsys.com/media/catalog/product/cache/997675bdfe08b0418d1a243e42592859/1/6/1617720179_im58007u_with_curlin.png,https://www.integratedmedsys.com/im58007u,I was browsing through your site and came across one of your products: imed ambulatory pump pouch,"That comes with a soft-sided case, right?",(model number: IM58007U ),owner,customerservice@integratedmedsys.com,customerservice@integratedmedsys.com
